"AS" "TDC" "CPR" "LAMT" "SLS" "STR" "SDG" "T16H1" "T16H2" "16OMT" "T3O" "T3R" "NMT" "D4H" "DAT" "PRX1" "TPT2" "GBF1A" "GBF2A" "ORCA2" "ORCA3" "ORCA4" "ORCA5" "ZCT1" "ZCT2" "ZCT3" "WRKY1" "MYC2" "HYS" "GS" "TAT" "TEX1" "TEX2" "THAS" "T19H" "MAT" "ORCA6" "10-HG0" "IO" "7-DLGT" "7-DLH" "IRS" "GES" "G10H" "BIS1" "BIS2" "BIS3" "GATA1"
"T3O" -0.443057177644045 -0.0348944259449692 -0.735700682057198 -0.0632026248106943 -0.0144717758119772 -0.187511245334678 0.229600821169794 -0.341656884252736 0.375704869217522 0.981295803764586 1 0.919897791639607 0.893516696174685 0.764762269733112 0.881108465277773 -0.245797256626224 0.39398171933392 -0.776006486463076 -0.550718809022342 -0.616339389093091 -0.481946947429671 -0.0566025810068657 -0.535870890096664 -0.659458019122678 -0.734636664131968 -0.664616652162064 -0.344524260287531 -0.502901725837128 -0.536730649810556 -0.551433317514973 -0.528654643303122 -0.618146037741812 -0.56500577029506 -0.467510876374693 -0.539488803421574 -0.522548957606818 -0.550685288614901 -0.0280915631054102 0.0968884681354971 -0.0447111378232857 -0.0798474065912505 0.0759836568231845 0.0769037473080887 0.144610953459963 0.0903883754403358 -0.00668205081786064 -0.204113617386608 0.926859330130756
"T3R" -0.477211991006139 -0.0946912359547947 -0.934193691400519 -0.0656559501575969 -0.0211163347427443 -0.234704676525464 0.158308496913356 -0.433947944913223 0.332468615475352 0.914342996832565 0.919897791639607 1 0.981532071937733 0.95351388816939 0.939132302956079 -0.324115193672441 0.390640302920664 -0.920704711716328 -0.72732342432135 -0.62926556737491 -0.473439045341286 0.0621497465867535 -0.534668649182055 -0.697328775865299 -0.81089129377408 -0.735346007146347 -0.392635719490143 -0.526102361644283 -0.694924633975787 -0.673599166217055 -0.528581772942886 -0.720359115230861 -0.614836452948009 -0.478672817746987 -0.530951924325015 -0.521749272736732 -0.556548466597922 -0.183347590286359 -0.0321290758198709 -0.213061192909696 -0.250717841907467 -0.0715261363700212 -0.0658204997979378 0.0125139291039899 -0.0607210556410127 -0.155600286961202 -0.36177250683901 0.789989743620517
"NMT" -0.633613591378316 -0.283353572020203 -0.91595210210268 -0.252853784528777 -0.20888011585049 -0.416078488071597 -0.0314873015700169 -0.303957577233033 0.446269283482033 0.890600362410114 0.893516696174685 0.981532071937733 1 0.942412723663356 0.944986805772618 -0.179942704097382 0.5543153324862 -0.965464157766774 -0.785750824387723 -0.756473675883037 -0.626087034573342 -0.112900355815484 -0.679347103374723 -0.813220206220372 -0.832287921717142 -0.850001281105439 -0.559896732207408 -0.676362557625741 -0.768141201115204 -0.799001686395463 -0.67460607117898 -0.648742339931997 -0.751663270539827 -0.633047889386622 -0.675959512675594 -0.668309928894978 -0.698252890174875 -0.147163083213521 -0.0315305708162753 -0.267364593199128 -0.320647218157854 -0.0682873274911799 -0.0353877417161073 0.0280368295968277 -0.0377334366843162 -0.147021330380865 -0.404697243125447 0.722064566504837
"D4H" -0.440163720168056 -0.125253539996677 -0.966226016046604 -0.0501717030587437 -0.00879926921951304 -0.242119600027963 0.0811201021099603 -0.401643414753258 0.325849096418393 0.787099743577236 0.764762269733112 0.95351388816939 0.942412723663356 1 0.912124784677499 -0.295763822355259 0.336779913981834 -0.913573175442072 -0.827263241247958 -0.552116643312886 -0.405214093576526 0.138301227877136 -0.464624331678267 -0.631060175004716 -0.729491638012636 -0.700765155483859 -0.393396034182119 -0.485340173295546 -0.785387792278197 -0.703974839376323 -0.461006977468552 -0.663672819562637 -0.595723722398482 -0.424976692390428 -0.458705467720141 -0.453038282570568 -0.48796292442046 -0.360852642901527 -0.211247254573112 -0.393391948886296 -0.424974894805711 -0.258440199863091 -0.248708958240605 -0.172483091051276 -0.250070250354526 -0.334152129906876 -0.517318997043235 0.631830514983729
"DAT" -0.525255123157264 -0.204574378077494 -0.806991333860751 -0.160050446147288 -0.101348638268379 -0.339028558743622 0.000964079376488649 -0.128946070535245 0.610663743902938 0.935533004690609 0.881108465277773 0.939132302956079 0.944986805772618 0.912124784677499 1 -0.0240524731073217 0.457763409680086 -0.84252197477569 -0.875616835990829 -0.625389017402994 -0.524224584106178 -0.0960090184531745 -0.574058983782843 -0.678506288809131 -0.609473228912444 -0.748741458152973 -0.512620830205672 -0.601697157670311 -0.859611145979849 -0.75955192694107 -0.572367866394964 -0.439660620520692 -0.712655985713231 -0.529834641473045 -0.58121580561269 -0.561788755475621 -0.58720455217053 -0.409430210537209 -0.30939083136845 -0.487729174022492 -0.521286444458641 -0.337312403837438 -0.309515768526871 -0.251716870176501 -0.307873719955359 -0.412514495713757 -0.620203546844522 0.819296628223394
"PRX1" -0.433715288724797 -0.67821527904319 0.469618146640868 -0.667981469009638 -0.649032289536217 -0.632660648370819 -0.798523101633257 0.9900231137267 0.775511321059443 -0.134090842446859 -0.245797256626224 -0.324115193672441 -0.179942704097382 -0.295763822355259 -0.0240524731073217 1 0.511329389852265 0.192149895801294 -0.269282345610928 -0.246320475767463 -0.442003362692054 -0.804486753333399 -0.389075873905158 -0.171581456032997 0.440748599019228 -0.210759003483264 -0.600068203586549 -0.463039592414586 -0.349058221393322 -0.363271996565374 -0.40113739825647 0.831012472772556 -0.445934107529695 -0.440630987881412 -0.412268390540451 -0.397040860702185 -0.360082406061095 -0.234906202890131 -0.452701962301402 -0.559757315667796 -0.588774857791041 -0.41374569758954 -0.302468750472514 -0.394077287962599 -0.327052589380485 -0.371090700958468 -0.482106855636883 -0.200706871135007
"TPT2" -0.992285022350644 -0.925776355863421 -0.311036149768323 -0.940529535519452 -0.922451720506475 -0.969502022559146 -0.781883212111547 0.390780269406074 0.681092191806318 0.379236839128307 0.39398171933392 0.390640302920664 0.5543153324862 0.336779913981834 0.457763409680086 0.511329389852265 1 -0.635111483127548 -0.520008393918336 -0.951135709133734 -0.994824648457556 -0.864073374346085 -0.985448587388646 -0.919610756708761 -0.537172336583563 -0.904798528578942 -0.974355924164048 -0.984558947097425 -0.582986998092564 -0.87664863888983 -0.987140828805186 -0.0345374367955664 -0.941077486426713 -0.994934771842324 -0.986124763484509 -0.987852469624391 -0.980331474986788 0.241642274166871 0.141121282679894 -0.204375273371962 -0.301529217120886 0.141264080688067 0.270969900735672 0.236433320335388 0.24208143231508 0.123254435890554 -0.234154225811519 0.131828965813998
"GBF1A" 0.719710588500477 0.412175148618493 0.930440138955993 0.375116107383704 0.344742478799804 0.523602557514755 0.16433144571161 0.325439224146964 -0.362229120377921 -0.748086669763623 -0.776006486463076 -0.920704711716328 -0.965464157766774 -0.913573175442072 -0.84252197477569 0.192149895801294 -0.635111483127548 1 0.741305690487786 0.821381809321301 0.695461927779827 0.168083336246171 0.743235968518379 0.875659796143333 0.901315312801238 0.899759407276504 0.630456696473116 0.734122782975178 0.727047411437649 0.841152349847808 0.73836297931968 0.687549786475341 0.783695733624802 0.708916910655181 0.732690207169366 0.735027094520222 0.763791850668048 0.0188925322766227 -0.0825905016305215 0.200194357393986 0.267525383884976 -0.0409008732274596 -0.0887515491530398 -0.144192973466728 -0.0782843705391582 0.029599687630763 0.317684066435123 -0.525660637824743
"GBF2A" 0.584315990090175 0.437579594020984 0.676741505538838 0.336998502536361 0.284031532720999 0.519299650576611 0.3321027579138 -0.170518482697314 -0.747590933535596 -0.657810749016982 -0.550718809022342 -0.72732342432135 -0.785750824387723 -0.827263241247958 -0.875616835990829 -0.269282345610928 -0.520008393918336 0.741305690487786 1 0.576702752406297 0.544489672957534 0.224111456198091 0.573950381031348 0.61931447839432 0.378163868384573 0.729849988805098 0.656782110261975 0.652350085309085 0.995443116522785 0.854795945189402 0.578402234634049 0.138369209717417 0.771313261483878 0.568195974672487 0.582352016008258 0.566786354289265 0.580854895807016 0.624026284464879 0.592409779456366 0.801005079750657 0.83641781528663 0.618899327757326 0.555228845446316 0.529359951250455 0.56977060387421 0.666452706329094 0.870901926973197 -0.481266275867844
"ORCA2" 0.972070573038729 0.783285665634661 0.55720101283853 0.799537843506747 0.776827372055931 0.86285828998236 0.569366959896546 -0.110762967732277 -0.578481983077466 -0.577259479134912 -0.616339389093091 -0.62926556737491 -0.756473675883037 -0.552116643312886 -0.625389017402994 -0.246320475767463 -0.951135709133734 0.821381809321301 0.576702752406297 1 0.976081660466751 0.684212041473413 0.988410562809939 0.994686009017706 0.760771162147264 0.976510158702088 0.903910828016982 0.96886792026587 0.617959167232093 0.902003852242987 0.986397213362827 0.327183827498734 0.944045870417904 0.975656735277808 0.984392563088076 0.986690203801208 0.992698938488631 -0.26328723189861 -0.2346619978759 0.112891066710367 0.209122249359081 -0.22123788090654 -0.32662142069056 -0.324987772084789 -0.304982715461057 -0.179287585223393 0.186704764472441 -0.331165108149468
